Sample Number (10000 samples per second),GAP (),LRERR (),OUTPUT (),LFTSPEED (),RGTSPEED ()
2380,155.0,-55.0,35.12,95.0,24.0
2381,158.0,-58.0,35.12,95.0,24.0
2382,163.0,-63.0,35.12,95.0,24.0
2383,164.0,-64.0,35.12,95.0,24.0
2384,165.0,-65.0,35.12,95.0,24.0
2385,162.0,-62.0,35.12,95.0,24.0
2386,164.0,-64.0,35.12,95.0,24.0
2387,165.0,-65.0,35.12,95.0,24.0
2388,164.0,-64.0,35.12,95.0,24.0
2389,163.0,-63.0,35.12,95.0,24.0
2390,168.0,-68.0,35.12,95.0,24.0
2391,166.0,-66.0,35.12,95.0,24.0
2392,169.0,-69.0,35.12,95.0,24.0
2393,167.0,-67.0,35.12,95.0,24.0
2394,173.0,-73.0,35.12,95.0,24.0
2395,174.0,-74.0,35.12,95.0,24.0
2396,175.0,-75.0,35.12,95.0,24.0
2397,175.0,-75.0,35.12,95.0,24.0
2398,177.0,-77.0,35.12,95.0,24.0
2399,176.0,-76.0,35.12,95.0,24.0
2400,178.0,-78.0,35.12,95.0,24.0
2401,179.0,-79.0,35.12,95.0,24.0
2402,186.0,-86.0,35.12,95.0,24.0
2403,186.0,-86.0,35.12,95.0,24.0
2404,187.0,-87.0,35.12,95.0,24.0
2405,188.0,-88.0,35.12,95.0,24.0
2406,194.0,-94.0,35.12,95.0,24.0
2407,189.0,-89.0,35.12,95.0,24.0
2408,190.0,-90.0,35.12,95.0,24.0
2409,198.0,-98.0,35.12,95.0,24.0
2410,197.0,-97.0,35.12,95.0,24.0
2411,199.0,-99.0,35.12,95.0,24.0
2412,195.0,-95.0,35.12,95.0,24.0
2413,197.0,-97.0,35.12,95.0,24.0
2414,197.0,-97.0,35.12,95.0,24.0
2415,198.0,-98.0,35.12,95.0,24.0
2416,197.0,-97.0,35.12,95.0,24.0
2417,196.0,-96.0,35.12,95.0,24.0
2418,192.0,-92.0,35.12,95.0,24.0
2419,188.0,-88.0,35.12,95.0,24.0
2420,188.0,-88.0,35.12,95.0,24.0
2421,187.0,-87.0,35.12,95.0,24.0
2422,183.0,-83.0,35.12,95.0,24.0
2423,183.0,-83.0,35.12,95.0,24.0
2424,182.0,-82.0,35.12,95.0,24.0
2425,180.0,-80.0,35.12,95.0,24.0
2426,182.0,-82.0,35.12,95.0,24.0
2427,180.0,-80.0,35.12,95.0,24.0
2428,180.0,-80.0,31.51,91.0,28.0
2429,184.0,-84.0,31.51,91.0,28.0
2430,183.0,-83.0,31.51,91.0,28.0
2431,183.0,-83.0,31.51,91.0,28.0
2432,181.0,-81.0,31.51,91.0,28.0
2433,183.0,-83.0,31.51,91.0,28.0
2434,179.0,-79.0,31.51,91.0,28.0
2435,173.0,-73.0,31.51,91.0,28.0
2436,176.0,-76.0,31.51,91.0,28.0
2437,174.0,-74.0,31.51,91.0,28.0
2438,175.0,-75.0,31.51,91.0,28.0
2439,174.0,-74.0,31.51,91.0,28.0
2440,175.0,-75.0,31.51,91.0,28.0
2441,170.0,-70.0,31.51,91.0,28.0
2442,174.0,-74.0,31.51,91.0,28.0
2443,175.0,-75.0,31.51,91.0,28.0
2444,176.0,-76.0,31.51,91.0,28.0
2445,176.0,-76.0,31.51,91.0,28.0
2446,175.0,-75.0,31.51,91.0,28.0
2447,178.0,-78.0,31.51,91.0,28.0
2448,179.0,-79.0,31.51,91.0,28.0
2449,180.0,-80.0,31.51,91.0,28.0
2450,182.0,-82.0,31.51,91.0,28.0
2451,180.0,-80.0,31.51,91.0,28.0
2452,179.0,-79.0,31.51,91.0,28.0
2453,181.0,-81.0,32.68,92.0,27.0
2454,182.0,-82.0,32.68,92.0,27.0
2455,180.0,-80.0,32.68,92.0,27.0
2456,184.0,-84.0,32.68,92.0,27.0
2457,181.0,-81.0,32.68,92.0,27.0
2458,181.0,-81.0,32.68,92.0,27.0
2459,182.0,-82.0,32.68,92.0,27.0
2460,180.0,-80.0,32.68,92.0,27.0
2461,179.0,-79.0,32.68,92.0,27.0
2462,180.0,-80.0,32.68,92.0,27.0
2463,185.0,-85.0,32.68,92.0,27.0
2464,182.0,-82.0,32.68,92.0,27.0
2465,183.0,-83.0,32.68,92.0,27.0
2466,182.0,-82.0,32.68,92.0,27.0
2467,184.0,-84.0,32.68,92.0,27.0
2468,185.0,-85.0,32.68,92.0,27.0
2469,187.0,-87.0,32.68,92.0,27.0
2470,193.0,-93.0,32.68,92.0,27.0
2471,196.0,-96.0,32.68,92.0,27.0
2472,195.0,-95.0,32.68,92.0,27.0
2473,197.0,-97.0,32.68,92.0,27.0
2474,197.0,-97.0,32.68,92.0,27.0
2475,195.0,-95.0,32.68,92.0,27.0
2476,193.0,-93.0,32.68,92.0,27.0
2477,199.0,-99.0,32.68,92.0,27.0
2478,196.0,-96.0,34.72,94.0,25.0
2479,200.0,-100.0,34.72,94.0,25.0
2480,196.0,-96.0,34.72,94.0,25.0
2481,194.0,-94.0,34.72,94.0,25.0
2482,193.0,-93.0,34.72,94.0,25.0
2483,188.0,-88.0,34.72,94.0,25.0
2484,188.0,-88.0,34.72,94.0,25.0
2485,190.0,-90.0,34.72,94.0,25.0
2486,184.0,-84.0,34.72,94.0,25.0
2487,180.0,-80.0,34.72,94.0,25.0
2488,179.0,-79.0,34.72,94.0,25.0
2489,176.0,-76.0,34.72,94.0,25.0
2490,172.0,-72.0,34.72,94.0,25.0
2491,165.0,-65.0,34.72,94.0,25.0
2492,161.0,-61.0,34.72,94.0,25.0
2493,160.0,-60.0,34.72,94.0,25.0
2494,155.0,-55.0,34.72,94.0,25.0
2495,154.0,-54.0,34.72,94.0,25.0
2496,153.0,-53.0,34.72,94.0,25.0
2497,150.0,-50.0,34.72,94.0,25.0
2498,140.0,-40.0,34.72,94.0,25.0
2499,137.0,-37.0,34.72,94.0,25.0
2500,135.0,-35.0,34.72,94.0,25.0
2501,130.0,-30.0,34.72,94.0,25.0
2502,127.0,-27.0,34.72,94.0,25.0
2503,125.0,-25.0,25.72,85.0,34.0
2504,124.0,-24.0,25.72,85.0,34.0
2505,120.0,-20.0,25.72,85.0,34.0
2506,115.0,-15.0,25.72,85.0,34.0
2507,109.0,-9.0,25.72,85.0,34.0
2508,107.0,-7.0,25.72,85.0,34.0
2509,104.0,-4.0,25.72,85.0,34.0
2510,99.0,1.0,25.72,34.0,85.0
2511,96.0,4.0,25.72,34.0,85.0
2512,95.0,5.0,25.72,34.0,85.0
2513,96.0,4.0,25.72,34.0,85.0
2514,94.0,6.0,25.72,34.0,85.0
2515,95.0,5.0,25.72,34.0,85.0
2516,93.0,7.0,25.72,34.0,85.0
2517,92.0,8.0,25.72,34.0,85.0
2518,92.0,8.0,25.72,34.0,85.0
2519,92.0,8.0,25.72,34.0,85.0
2520,98.0,2.0,25.72,34.0,85.0
2521,104.0,-4.0,25.72,85.0,34.0
2522,107.0,-7.0,25.72,85.0,34.0
2523,112.0,-12.0,25.72,85.0,34.0
2524,125.0,-25.0,25.72,85.0,34.0
2525,131.0,-31.0,25.72,85.0,34.0
2526,141.0,-41.0,25.72,85.0,34.0
2527,143.0,-43.0,25.72,85.0,34.0
2528,154.0,-54.0,25.72,85.0,34.0
2529,157.0,-57.0,25.72,85.0,34.0
2530,165.0,-65.0,37.63,97.0,22.0
2531,173.0,-73.0,37.63,97.0,22.0
2532,182.0,-82.0,37.63,97.0,22.0
2533,185.0,-85.0,37.63,97.0,22.0
2534,191.0,-91.0,37.63,97.0,22.0
2535,199.0,-99.0,37.63,97.0,22.0
2536,212.0,-112.0,37.63,97.0,22.0
2537,219.0,-119.0,37.63,97.0,22.0
2538,217.0,-117.0,37.63,97.0,22.0
2539,221.0,-121.0,37.63,97.0,22.0
2540,221.0,-121.0,37.63,97.0,22.0
2541,226.0,-126.0,37.63,97.0,22.0
2542,224.0,-124.0,37.63,97.0,22.0
2543,226.0,-126.0,37.63,97.0,22.0
2544,224.0,-124.0,37.63,97.0,22.0
2545,229.0,-129.0,37.63,97.0,22.0
2546,224.0,-124.0,37.63,97.0,22.0
2547,227.0,-127.0,37.63,97.0,22.0
2548,227.0,-127.0,37.63,97.0,22.0
2549,226.0,-126.0,37.63,97.0,22.0
2550,233.0,-133.0,37.63,97.0,22.0
2551,227.0,-127.0,37.63,97.0,22.0
2552,229.0,-129.0,37.63,97.0,22.0
2553,228.0,-128.0,37.63,97.0,22.0
2554,224.0,-124.0,40.68,100.0,19.0
2555,223.0,-123.0,40.68,100.0,19.0
2556,224.0,-124.0,40.68,100.0,19.0
2557,225.0,-125.0,40.68,100.0,19.0
2558,221.0,-121.0,40.68,100.0,19.0
2559,224.0,-124.0,40.68,100.0,19.0
2560,220.0,-120.0,40.68,100.0,19.0
2561,221.0,-121.0,40.68,100.0,19.0
2562,219.0,-119.0,40.68,100.0,19.0
2563,218.0,-118.0,40.68,100.0,19.0
2564,220.0,-120.0,40.68,100.0,19.0
2565,217.0,-117.0,40.68,100.0,19.0
2566,214.0,-114.0,40.68,100.0,19.0
2567,215.0,-115.0,40.68,100.0,19.0
2568,217.0,-117.0,40.68,100.0,19.0
2569,215.0,-115.0,40.68,100.0,19.0
2570,214.0,-114.0,40.68,100.0,19.0
2571,210.0,-110.0,40.68,100.0,19.0
2572,207.0,-107.0,40.68,100.0,19.0
2573,205.0,-105.0,40.68,100.0,19.0
2574,205.0,-105.0,40.68,100.0,19.0
2575,208.0,-108.0,40.68,100.0,19.0
2576,208.0,-108.0,40.68,100.0,19.0
2577,206.0,-106.0,33.32,93.0,26.0
2578,205.0,-105.0,33.32,93.0,26.0
2579,202.0,-102.0,33.32,93.0,26.0
2580,200.0,-100.0,33.32,93.0,26.0
2581,197.0,-97.0,33.32,93.0,26.0
2582,203.0,-103.0,33.32,93.0,26.0
2583,199.0,-99.0,33.32,93.0,26.0
2584,199.0,-99.0,33.32,93.0,26.0
2585,198.0,-98.0,33.32,93.0,26.0
2586,197.0,-97.0,33.32,93.0,26.0
2587,200.0,-100.0,33.32,93.0,26.0
2588,192.0,-92.0,33.32,93.0,26.0
2589,192.0,-92.0,33.32,93.0,26.0
2590,194.0,-94.0,33.32,93.0,26.0
2591,196.0,-96.0,33.32,93.0,26.0
2592,194.0,-94.0,33.32,93.0,26.0
2593,197.0,-97.0,33.32,93.0,26.0
2594,196.0,-96.0,33.32,93.0,26.0
2595,196.0,-96.0,33.32,93.0,26.0
2596,196.0,-96.0,33.32,93.0,26.0
2597,194.0,-94.0,33.32,93.0,26.0
2598,196.0,-96.0,33.32,93.0,26.0
2599,197.0,-97.0,33.32,93.0,26.0
2600,191.0,-91.0,33.32,93.0,26.0
2601,195.0,-95.0,33.32,93.0,26.0
2602,195.0,-95.0,34.39,94.0,25.0
2603,191.0,-91.0,34.39,94.0,25.0
2604,189.0,-89.0,34.39,94.0,25.0
2605,193.0,-93.0,34.39,94.0,25.0
2606,187.0,-87.0,34.39,94.0,25.0
2607,189.0,-89.0,34.39,94.0,25.0
2608,191.0,-91.0,34.39,94.0,25.0
2609,196.0,-96.0,34.39,94.0,25.0
2610,194.0,-94.0,34.39,94.0,25.0
2611,193.0,-93.0,34.39,94.0,25.0
2612,198.0,-98.0,34.39,94.0,25.0
2613,199.0,-99.0,34.39,94.0,25.0
2614,201.0,-101.0,34.39,94.0,25.0
2615,198.0,-98.0,34.39,94.0,25.0
2616,199.0,-99.0,34.39,94.0,25.0
2617,202.0,-102.0,34.39,94.0,25.0
2618,198.0,-98.0,34.39,94.0,25.0
2619,199.0,-99.0,34.39,94.0,25.0
2620,202.0,-102.0,34.39,94.0,25.0
2621,200.0,-100.0,34.39,94.0,25.0
2622,199.0,-99.0,34.39,94.0,25.0
2623,200.0,-100.0,34.39,94.0,25.0
2624,201.0,-101.0,34.39,94.0,25.0
2625,198.0,-98.0,34.39,94.0,25.0
2626,199.0,-99.0,34.39,94.0,25.0
2627,197.0,-97.0,36.21,96.0,23.0
2628,196.0,-96.0,36.21,96.0,23.0
2629,194.0,-94.0,36.21,96.0,23.0
2630,194.0,-94.0,36.21,96.0,23.0
2631,186.0,-86.0,36.21,96.0,23.0
2632,187.0,-87.0,36.21,96.0,23.0
2633,179.0,-79.0,36.21,96.0,23.0
2634,175.0,-75.0,36.21,96.0,23.0
2635,172.0,-72.0,36.21,96.0,23.0
2636,167.0,-67.0,36.21,96.0,23.0
2637,164.0,-64.0,36.21,96.0,23.0
2638,154.0,-54.0,36.21,96.0,23.0
2639,147.0,-47.0,36.21,96.0,23.0
2640,145.0,-45.0,36.21,96.0,23.0
2641,138.0,-38.0,36.21,96.0,23.0
2642,128.0,-28.0,36.21,96.0,23.0
2643,127.0,-27.0,36.21,96.0,23.0
2644,121.0,-21.0,36.21,96.0,23.0
2645,116.0,-16.0,36.21,96.0,23.0
2646,111.0,-11.0,36.21,96.0,23.0
2647,111.0,-11.0,36.21,96.0,23.0
2648,107.0,-7.0,36.21,96.0,23.0
2649,102.0,-2.0,36.21,96.0,23.0
2650,94.0,6.0,36.21,23.0,96.0
2651,90.0,10.0,36.21,23.0,96.0
2652,86.0,14.0,24.01,35.0,84.0
2653,81.0,19.0,24.01,35.0,84.0
2654,77.0,23.0,24.01,35.0,84.0
2655,73.0,27.0,24.01,35.0,84.0
2656,68.0,32.0,24.01,35.0,84.0
2657,70.0,30.0,24.01,35.0,84.0
2658,65.0,35.0,24.01,35.0,84.0
2659,66.0,34.0,24.01,35.0,84.0
2660,67.0,33.0,24.01,35.0,84.0
2661,71.0,29.0,24.01,35.0,84.0
2662,73.0,27.0,24.01,35.0,84.0
2663,76.0,24.0,24.01,35.0,84.0
2664,81.0,19.0,24.01,35.0,84.0
2665,86.0,14.0,24.01,35.0,84.0
2666,93.0,7.0,24.01,35.0,84.0
2667,98.0,2.0,24.01,35.0,84.0
2668,102.0,-2.0,24.01,84.0,35.0
2669,108.0,-8.0,24.01,84.0,35.0
2670,115.0,-15.0,24.01,84.0,35.0
2671,119.0,-19.0,24.01,84.0,35.0
2672,131.0,-31.0,24.01,84.0,35.0
2673,136.0,-36.0,24.01,84.0,35.0
2674,141.0,-41.0,24.01,84.0,35.0
2675,150.0,-50.0,24.01,84.0,35.0
2676,154.0,-54.0,24.01,84.0,35.0
2677,160.0,-60.0,24.01,84.0,35.0
2678,165.0,-65.0,44.21,104.0,15.0
2679,164.0,-64.0,44.21,104.0,15.0
2680,170.0,-70.0,44.21,104.0,15.0
2681,172.0,-72.0,44.21,104.0,15.0
2682,171.0,-71.0,44.21,104.0,15.0
2683,171.0,-71.0,44.21,104.0,15.0
2684,173.0,-73.0,44.21,104.0,15.0
2685,172.0,-72.0,44.21,104.0,15.0
2686,169.0,-69.0,44.21,104.0,15.0
2687,167.0,-67.0,44.21,104.0,15.0
2688,167.0,-67.0,44.21,104.0,15.0
2689,165.0,-65.0,44.21,104.0,15.0
2690,161.0,-61.0,44.21,104.0,15.0
2691,158.0,-58.0,44.21,104.0,15.0
2692,150.0,-50.0,44.21,104.0,15.0
2693,150.0,-50.0,44.21,104.0,15.0
2694,142.0,-42.0,44.21,104.0,15.0
2695,134.0,-34.0,44.21,104.0,15.0
2696,131.0,-31.0,44.21,104.0,15.0
2697,128.0,-28.0,44.21,104.0,15.0
2698,122.0,-22.0,44.21,104.0,15.0
2699,119.0,-19.0,44.21,104.0,15.0
2700,110.0,-10.0,44.21,104.0,15.0
2701,106.0,-6.0,44.21,104.0,15.0
2702,98.0,2.0,29.19,30.0,89.0
2703,93.0,7.0,29.19,30.0,89.0
2704,90.0,10.0,29.19,30.0,89.0
2705,89.0,11.0,29.19,30.0,89.0
2706,85.0,15.0,29.19,30.0,89.0
2707,78.0,22.0,29.19,30.0,89.0
2708,75.0,25.0,29.19,30.0,89.0
2709,73.0,27.0,29.19,30.0,89.0
2710,68.0,32.0,29.19,30.0,89.0
2711,69.0,31.0,29.19,30.0,89.0
2712,68.0,32.0,29.19,30.0,89.0
2713,64.0,36.0,29.19,30.0,89.0
2714,66.0,34.0,29.19,30.0,89.0
2715,71.0,29.0,29.19,30.0,89.0
2716,72.0,28.0,29.19,30.0,89.0
2717,74.0,26.0,29.19,30.0,89.0
2718,78.0,22.0,29.19,30.0,89.0
2719,79.0,21.0,29.19,30.0,89.0
2720,89.0,11.0,29.19,30.0,89.0
2721,95.0,5.0,29.19,30.0,89.0
2722,96.0,4.0,29.19,30.0,89.0
2723,103.0,-3.0,29.19,89.0,30.0
2724,108.0,-8.0,29.19,89.0,30.0
2725,113.0,-13.0,29.19,89.0,30.0
2726,118.0,-18.0,29.19,89.0,30.0
2727,124.0,-24.0,29.19,89.0,30.0
2728,124.0,-24.0,29.19,89.0,30.0
2729,132.0,-32.0,39.96,99.0,20.0
2730,136.0,-36.0,39.96,99.0,20.0
2731,138.0,-38.0,39.96,99.0,20.0
2732,134.0,-34.0,39.96,99.0,20.0
2733,137.0,-37.0,39.96,99.0,20.0
2734,134.0,-34.0,39.96,99.0,20.0
2735,136.0,-36.0,39.96,99.0,20.0
2736,136.0,-36.0,39.96,99.0,20.0
2737,133.0,-33.0,39.96,99.0,20.0
2738,129.0,-29.0,39.96,99.0,20.0
2739,125.0,-25.0,39.96,99.0,20.0
2740,124.0,-24.0,39.96,99.0,20.0
2741,120.0,-20.0,39.96,99.0,20.0
2742,120.0,-20.0,39.96,99.0,20.0
2743,117.0,-17.0,39.96,99.0,20.0
2744,115.0,-15.0,39.96,99.0,20.0
2745,110.0,-10.0,39.96,99.0,20.0
2746,110.0,-10.0,39.96,99.0,20.0
2747,108.0,-8.0,39.96,99.0,20.0
2748,102.0,-2.0,39.96,99.0,20.0
2749,98.0,2.0,39.96,20.0,99.0
2750,95.0,5.0,39.96,20.0,99.0
2751,92.0,8.0,39.96,20.0,99.0
2752,88.0,12.0,39.96,20.0,99.0
2753,86.0,14.0,39.96,20.0,99.0
2754,81.0,19.0,39.96,20.0,99.0
2755,81.0,19.0,31.15,28.0,91.0
2756,77.0,23.0,31.15,28.0,91.0
2757,74.0,26.0,31.15,28.0,91.0
2758,75.0,25.0,31.15,28.0,91.0
2759,72.0,28.0,31.15,28.0,91.0
2760,77.0,23.0,31.15,28.0,91.0
2761,78.0,22.0,31.15,28.0,91.0
2762,79.0,21.0,31.15,28.0,91.0
2763,83.0,17.0,31.15,28.0,91.0
2764,87.0,13.0,31.15,28.0,91.0
2765,90.0,10.0,31.15,28.0,91.0
2766,98.0,2.0,31.15,28.0,91.0
2767,101.0,-1.0,31.15,91.0,28.0
2768,104.0,-4.0,31.15,91.0,28.0
2769,112.0,-12.0,31.15,91.0,28.0
2770,119.0,-19.0,31.15,91.0,28.0
2771,124.0,-24.0,31.15,91.0,28.0
2772,129.0,-29.0,31.15,91.0,28.0
2773,135.0,-35.0,31.15,91.0,28.0
2774,139.0,-39.0,31.15,91.0,28.0
2775,142.0,-42.0,31.15,91.0,28.0
2776,141.0,-41.0,31.15,91.0,28.0
2777,150.0,-50.0,31.15,91.0,28.0
2778,150.0,-50.0,31.15,91.0,28.0
2779,155.0,-55.0,31.15,91.0,28.0
2780,153.0,-53.0,31.15,91.0,28.0
2781,154.0,-54.0,44.66,104.0,15.0
2782,153.0,-53.0,44.66,104.0,15.0
2783,150.0,-50.0,44.66,104.0,15.0
2784,148.0,-48.0,44.66,104.0,15.0
2785,148.0,-48.0,44.66,104.0,15.0
2786,145.0,-45.0,44.66,104.0,15.0
2787,141.0,-41.0,44.66,104.0,15.0
2788,136.0,-36.0,44.66,104.0,15.0
2789,133.0,-33.0,44.66,104.0,15.0
2790,128.0,-28.0,44.66,104.0,15.0
2791,122.0,-22.0,44.66,104.0,15.0
2792,114.0,-14.0,44.66,104.0,15.0
2793,108.0,-8.0,44.66,104.0,15.0
2794,107.0,-7.0,44.66,104.0,15.0
2795,98.0,2.0,44.66,15.0,104.0
2796,91.0,9.0,44.66,15.0,104.0
2797,90.0,10.0,44.66,15.0,104.0
2798,84.0,16.0,44.66,15.0,104.0
2799,79.0,21.0,44.66,15.0,104.0
2800,76.0,24.0,44.66,15.0,104.0
2801,72.0,28.0,44.66,15.0,104.0
2802,68.0,32.0,44.66,15.0,104.0
2803,67.0,33.0,44.66,15.0,104.0
2804,61.0,39.0,44.66,15.0,104.0
2805,59.0,41.0,44.66,15.0,104.0
2806,56.0,44.0,26.72,33.0,86.0
2807,58.0,42.0,26.72,33.0,86.0
2808,61.0,39.0,26.72,33.0,86.0
2809,59.0,41.0,26.72,33.0,86.0
2810,68.0,32.0,26.72,33.0,86.0
2811,69.0,31.0,26.72,33.0,86.0
2812,73.0,27.0,26.72,33.0,86.0
2813,76.0,24.0,26.72,33.0,86.0
2814,78.0,22.0,26.72,33.0,86.0
2815,90.0,10.0,26.72,33.0,86.0
2816,91.0,9.0,26.72,33.0,86.0
2817,96.0,4.0,26.72,33.0,86.0
2818,104.0,-4.0,26.72,86.0,33.0
2819,107.0,-7.0,26.72,86.0,33.0
2820,110.0,-10.0,26.72,86.0,33.0
2821,117.0,-17.0,26.72,86.0,33.0
2822,118.0,-18.0,26.72,86.0,33.0
2823,123.0,-23.0,26.72,86.0,33.0
2824,129.0,-29.0,26.72,86.0,33.0
2825,132.0,-32.0,26.72,86.0,33.0
2826,134.0,-34.0,26.72,86.0,33.0
2827,128.0,-28.0,26.72,86.0,33.0
2828,132.0,-32.0,26.72,86.0,33.0
2829,131.0,-31.0,26.72,86.0,33.0
2830,127.0,-27.0,26.72,86.0,33.0
2831,128.0,-28.0,26.72,86.0,33.0
2832,128.0,-28.0,44.76,104.0,15.0
2833,125.0,-25.0,44.76,104.0,15.0
2834,123.0,-23.0,44.76,104.0,15.0
2835,122.0,-22.0,44.76,104.0,15.0
2836,117.0,-17.0,44.76,104.0,15.0
2837,115.0,-15.0,44.76,104.0,15.0
2838,113.0,-13.0,44.76,104.0,15.0
2839,99.0,1.0,44.76,15.0,104.0
2840,99.0,1.0,44.76,15.0,104.0
2841,95.0,5.0,44.76,15.0,104.0
2842,87.0,13.0,44.76,15.0,104.0
2843,87.0,13.0,44.76,15.0,104.0
2844,80.0,20.0,44.76,15.0,104.0
2845,76.0,24.0,44.76,15.0,104.0
2846,75.0,25.0,44.76,15.0,104.0
2847,75.0,25.0,44.76,15.0,104.0
2848,77.0,23.0,44.76,15.0,104.0
2849,80.0,20.0,44.76,15.0,104.0
2850,84.0,16.0,44.76,15.0,104.0
2851,86.0,14.0,44.76,15.0,104.0
2852,91.0,9.0,44.76,15.0,104.0
2853,91.0,9.0,44.76,15.0,104.0
2854,95.0,5.0,44.76,15.0,104.0
2855,95.0,5.0,44.76,15.0,104.0
2856,105.0,-5.0,44.76,104.0,15.0
2857,104.0,-4.0,44.76,104.0,15.0
2858,112.0,-12.0,36.08,96.0,23.0
2859,115.0,-15.0,36.08,96.0,23.0
2860,119.0,-19.0,36.08,96.0,23.0
2861,127.0,-27.0,36.08,96.0,23.0
2862,131.0,-31.0,36.08,96.0,23.0
2863,136.0,-36.0,36.08,96.0,23.0
2864,139.0,-39.0,36.08,96.0,23.0
2865,139.0,-39.0,36.08,96.0,23.0
2866,140.0,-40.0,36.08,96.0,23.0
2867,136.0,-36.0,36.08,96.0,23.0
2868,139.0,-39.0,36.08,96.0,23.0
2869,137.0,-37.0,36.08,96.0,23.0
2870,133.0,-33.0,36.08,96.0,23.0
2871,128.0,-28.0,36.08,96.0,23.0
2872,126.0,-26.0,36.08,96.0,23.0
2873,126.0,-26.0,36.08,96.0,23.0
2874,115.0,-15.0,36.08,96.0,23.0
2875,111.0,-11.0,36.08,96.0,23.0
2876,109.0,-9.0,36.08,96.0,23.0
2877,103.0,-3.0,36.08,96.0,23.0
2878,101.0,-1.0,36.08,96.0,23.0
2879,92.0,8.0,36.08,23.0,96.0
2880,90.0,10.0,36.08,23.0,96.0
2881,86.0,14.0,36.08,23.0,96.0
2882,82.0,18.0,36.08,23.0,96.0
2883,79.0,21.0,34.25,25.0,94.0
2884,77.0,23.0,34.25,25.0,94.0
2885,76.0,24.0,34.25,25.0,94.0
2886,77.0,23.0,34.25,25.0,94.0
2887,71.0,29.0,34.25,25.0,94.0
2888,68.0,32.0,34.25,25.0,94.0
2889,69.0,31.0,34.25,25.0,94.0
2890,65.0,35.0,34.25,25.0,94.0
2891,65.0,35.0,34.25,25.0,94.0
2892,69.0,31.0,34.25,25.0,94.0
2893,68.0,32.0,34.25,25.0,94.0
2894,69.0,31.0,34.25,25.0,94.0
2895,68.0,32.0,34.25,25.0,94.0
2896,69.0,31.0,34.25,25.0,94.0
2897,69.0,31.0,34.25,25.0,94.0
2898,71.0,29.0,34.25,25.0,94.0
2899,73.0,27.0,34.25,25.0,94.0
2900,79.0,21.0,34.25,25.0,94.0
2901,84.0,16.0,34.25,25.0,94.0
2902,88.0,12.0,34.25,25.0,94.0
2903,86.0,14.0,34.25,25.0,94.0
2904,89.0,11.0,34.25,25.0,94.0
2905,93.0,7.0,34.25,25.0,94.0
2906,98.0,2.0,34.25,25.0,94.0
2907,99.0,1.0,34.25,25.0,94.0
2908,101.0,-1.0,34.25,94.0,25.0
2909,107.0,-7.0,34.25,94.0,25.0
2910,111.0,-11.0,41.35,101.0,18.0
2911,120.0,-20.0,41.35,101.0,18.0
2912,122.0,-22.0,41.35,101.0,18.0
2913,126.0,-26.0,41.35,101.0,18.0
2914,128.0,-28.0,41.35,101.0,18.0
2915,130.0,-30.0,41.35,101.0,18.0
2916,127.0,-27.0,41.35,101.0,18.0
2917,129.0,-29.0,41.35,101.0,18.0
2918,129.0,-29.0,41.35,101.0,18.0
2919,125.0,-25.0,41.35,101.0,18.0
2920,124.0,-24.0,41.35,101.0,18.0
2921,120.0,-20.0,41.35,101.0,18.0
2922,121.0,-21.0,41.35,101.0,18.0
2923,119.0,-19.0,41.35,101.0,18.0
2924,111.0,-11.0,41.35,101.0,18.0
2925,114.0,-14.0,41.35,101.0,18.0
2926,107.0,-7.0,41.35,101.0,18.0
2927,106.0,-6.0,41.35,101.0,18.0
2928,106.0,-6.0,41.35,101.0,18.0
2929,102.0,-2.0,41.35,101.0,18.0
2930,96.0,4.0,41.35,18.0,101.0
2931,97.0,3.0,41.35,18.0,101.0
2932,92.0,8.0,41.35,18.0,101.0
2933,90.0,10.0,41.35,18.0,101.0
2934,85.0,15.0,35.5,24.0,95.0
2935,82.0,18.0,35.5,24.0,95.0
2936,78.0,22.0,35.5,24.0,95.0
2937,76.0,24.0,35.5,24.0,95.0
2938,75.0,25.0,35.5,24.0,95.0
2939,68.0,32.0,35.5,24.0,95.0
2940,70.0,30.0,35.5,24.0,95.0
2941,69.0,31.0,35.5,24.0,95.0
2942,73.0,27.0,35.5,24.0,95.0
2943,73.0,27.0,35.5,24.0,95.0
2944,73.0,27.0,35.5,24.0,95.0
2945,77.0,23.0,35.5,24.0,95.0
2946,78.0,22.0,35.5,24.0,95.0
2947,81.0,19.0,35.5,24.0,95.0
2948,85.0,15.0,35.5,24.0,95.0
2949,88.0,12.0,35.5,24.0,95.0
2950,91.0,9.0,35.5,24.0,95.0
2951,95.0,5.0,35.5,24.0,95.0
2952,97.0,3.0,35.5,24.0,95.0
2953,101.0,-1.0,35.5,95.0,24.0
2954,107.0,-7.0,35.5,95.0,24.0
2955,112.0,-12.0,35.5,95.0,24.0
2956,116.0,-16.0,35.5,95.0,24.0
2957,115.0,-15.0,35.5,95.0,24.0
2958,116.0,-16.0,35.5,95.0,24.0
2959,117.0,-17.0,35.5,95.0,24.0
2960,123.0,-23.0,35.5,95.0,24.0
2961,117.0,-17.0,41.91,101.0,18.0
2962,119.0,-19.0,41.91,101.0,18.0
2963,117.0,-17.0,41.91,101.0,18.0
2964,115.0,-15.0,41.91,101.0,18.0
2965,112.0,-12.0,41.91,101.0,18.0
2966,111.0,-11.0,41.91,101.0,18.0
